Sample,treatment,experiment,timepoint,replicate
flowcell147_lane2_ACTTGA2CLC3,control,induction,na,7
flowcell147_lane2_ATCACG2CLA1,control,induction,na,5
flowcell147_lane2_GATCAG2LA3,lema,induction,na,7
flowcell147_lane2_GGCTAC2LC2,lema,induction,na,6
flowcell147_lane2_TAGCTT2LB3,lema,induction,na,5
flowcell147_lane2_TTAGGC2CLB2,control,induction,na,6
flowcell152_lane8_ATCACGLateField,lema,field,na,9
flowcell152_lane8_TTAGGCEarlyField,lema,field,na,8
flowcell203_lane7_ACAGTG_3D0,lema,timecourse,0,3
flowcell203_lane7_ATCACG_1C0,control,timecourse,0,1
flowcell203_lane7_CGATGT_3C0,control,timecourse,0,3
flowcell203_lane7_GCCAAT4D0,lema,timecourse,0,4
flowcell203_lane7_TGACCA1D0,lema,timecourse,0,1
flowcell203_lane7_TTAGGC4C0,control,timecourse,0,4
flowcell206_lane5_ACTTGA3c12,control,timecourse,12,3
flowcell206_lane5_CAGATC1c12,control,timecourse,12,1
flowcell206_lane5_CTTGTA4d12,lema,timecourse,12,4
flowcell206_lane5_GATCAG4c12,control,timecourse,12,4
flowcell206_lane5_GGCTAC3d12,lema,timecourse,12,3
flowcell206_lane5_TAGCTT1d12,lema,timecourse,12,1
flowcell210_lane6_ACTTGA3c24,control,timecourse,24,3
flowcell210_lane6_GATCAG4c24,control,timecourse,24,4
flowcell210_lane6_GGCTAC3d24,lema,timecourse,24,3
flowcell215_lane2_ACAGTG3D,lema,timecourse,48,3
flowcell215_lane2_ATCACG1C,control,timecourse,48,1
flowcell215_lane2_CGATGT3C,control,timecourse,48,3
flowcell215_lane2_GCCAAT4D,lema,timecourse,48,4
flowcell215_lane2_TGACCA1D,lema,timecourse,48,1
flowcell215_lane2_TTAGGC4C,control,timecourse,48,4
flowcell215_lane3_ACTTGA3C,control,timecourse,96,3
flowcell215_lane3_GATCAG4C,control,timecourse,96,4
flowcell215_lane3_GGCTAC3D,lema,timecourse,96,3
flowcell215_lane3_TAGCTT1D,lema,timecourse,96,1
flowcell220_lane8_ATCACG1c24c,control,timecourse,24,1
flowcell223_lane1_CAGATC1C,control,timecourse,96,1
flowcell223_lane1_CTTGTA4D,lema,timecourse,96,4
